Date, Open , High , Low , Close  , Adj Close  ,Volume
5-Jul-24, $121.55 , $129.92 , $120.23 , $128.17 , $128.17 ,"15,029,000"
3-Jul-24, $129.80 , $132.80 , $127.35 , $130.21 , $130.21 ,"6,659,000"
2-Jul-24, $136.55 , $138.44 , $130.66 , $132.02 , $132.02 ,"9,229,000"
1-Jul-24, $141.00 , $143.60 , $136.31 , $136.60 , $136.60 ,"14,129,000"
28-Jun-24, $151.64 , $151.90 , $136.70 , $137.75 , $137.75 ,"34,113,000"
27-Jun-24, $148.50 , $153.90 , $146.35 , $152.54 , $152.54 ,"9,308,000"
26-Jun-24, $147.23 , $150.50 , $144.50 , $145.77 , $145.77 ,"7,502,000"
25-Jun-24, $141.38 , $149.90 , $139.34 , $149.57 , $149.57 ,"13,628,000"
24-Jun-24, $139.80 , $144.89 , $132.55 , $137.21 , $137.21 ,"16,081,000"
21-Jun-24, $142.00 , $149.10 , $140.90 , $148.38 , $148.38 ,"11,495,000"
20-Jun-24, $148.21 , $150.56 , $142.21 , $146.54 , $146.54 ,"9,098,000"
18-Jun-24, $145.79 , $151.10 , $144.60 , $146.94 , $146.94 ,"8,934,000"
17-Jun-24, $149.98 , $156.90 , $142.12 , $150.73 , $150.73 ,"12,076,000"
14-Jun-24, $150.50 , $153.80 , $146.15 , $149.55 , $149.55 ,"13,790,000"
13-Jun-24, $156.33 , $157.38 , $144.10 , $148.39 , $148.39 ,"21,108,000"
12-Jun-24, $162.00 , $169.27 , $159.18 , $160.37 , $160.37 ,"13,681,000"
11-Jun-24, $154.20 , $156.41 , $148.66 , $155.55 , $155.55 ,"11,412,000"
10-Jun-24, $157.50 , $164.78 , $156.03 , $159.99 , $159.99 ,"7,265,000"
7-Jun-24, $167.10 , $171.77 , $158.50 , $159.62 , $159.62 ,"12,627,000"
6-Jun-24, $169.86 , $173.47 , $164.71 , $165.66 , $165.66 ,"11,623,000"
5-Jun-24, $167.50 , $171.78 , $163.62 , $169.47 , $169.47 ,"10,956,000"
4-Jun-24, $161.74 , $169.70 , $161.50 , $163.88 , $163.88 ,"13,230,000"
3-Jun-24, $160.10 , $165.60 , $156.04 , $162.74 , $162.74 ,"11,222,000"
31-May-24, $159.70 , $161.48 , $144.20 , $152.45 , $152.45 ,"22,154,000"
30-May-24, $165.30 , $171.50 , $153.20 , $154.10 , $154.10 ,"14,776,000"
29-May-24, $165.00 , $165.91 , $161.12 , $161.87 , $161.87 ,"7,344,000"
28-May-24, $165.00 , $169.15 , $161.00 , $167.54 , $167.54 ,"10,799,000"
24-May-24, $154.00 , $168.50 , $152.80 , $168.48 , $168.48 ,"12,069,000"
23-May-24, $166.92 , $167.00 , $153.03 , $154.41 , $154.41 ,"11,588,000"
22-May-24, $166.30 , $171.80 , $162.01 , $164.70 , $164.70 ,"10,339,000"
21-May-24, $173.00 , $174.00 , $164.50 , $165.54 , $165.54 ,"12,978,000"
20-May-24, $159.70 , $172.90 , $155.14 , $172.72 , $172.72 ,"16,717,000"
17-May-24, $150.10 , $158.50 , $146.90 , $158.45 , $158.45 ,"16,529,000"
16-May-24, $149.41 , $151.89 , $143.54 , $144.00 , $144.00 ,"13,656,000"
15-May-24, $137.96 , $152.03 , $135.11 , $150.35 , $150.35 ,"20,586,000"
14-May-24, $122.65 , $129.87 , $122.65 , $129.76 , $129.76 ,"9,268,000"
13-May-24, $121.79 , $126.42 , $120.30 , $124.60 , $124.60 ,"8,757,000"
10-May-24, $129.00 , $130.20 , $117.85 , $118.05 , $118.05 ,"14,038,000"
9-May-24, $123.00 , $130.30 , $120.10 , $126.36 , $126.36 ,"10,534,000"
8-May-24, $119.84 , $125.99 , $119.00 , $123.31 , $123.31 ,"8,590,000"
7-May-24, $127.82 , $131.90 , $125.13 , $125.75 , $125.75 ,"9,968,000"
6-May-24, $127.39 , $133.90 , $126.01 , $126.88 , $126.88 ,"13,870,000"
3-May-24, $120.10 , $124.20 , $117.28 , $122.30 , $122.30 ,"15,610,000"
